Time,Num Task Set,Num Tasks,Time running,Cpu utilization
0,200,15000,15609.1,0.00202607
1,200,15000,15444.2,0.00202607
2,200,15000,15128.8,0.00202607
3,200,15000,15034.5,0.00202607
4,200,15000,15025.9,0.00202607
5,200,15000,15282.3,0.00202607
6,200,15000,15174.3,0.00202607
7,200,15000,15705.2,0.00202607
8,200,15000,15574.2,0.00202607
9,200,15000,15495.7,0.00202607
10,200,15000,15198.8,0.00202607
11,200,15000,15715.4,0.00202607
12,200,15000,15681.8,0.00202607
13,200,15000,15671.6,0.00202607
14,200,15000,15161.9,0.00202607
15,200,15000,15256.9,0.00202607
16,200,15000,15203.6,0.00202607
17,200,15000,15114.7,0.00202607
18,200,15000,15196.8,0.00202607
19,200,15000,15134.4,0.00202607
20,200,15000,15098.2,0.00202607
21,200,15000,15023.6,0.00202607
22,200,15000,15004.7,0.00202607
23,200,15000,15045.6,0.00202607
24,200,15000,15074,0.00202607
25,200,15000,15114.6,0.00202607
26,200,15000,15029.7,0.00202607
27,200,15000,14981.3,0.00202607
28,200,15000,15257.4,0.00202607
29,200,15000,15419.1,0.00202607
30,200,15000,15429.6,0.00202607
31,200,15000,15198.8,0.00202607
32,200,15000,15021.5,0.00202607
33,200,15000,15021.2,0.00202607
34,200,15000,14994.2,0.00202607
35,200,15000,14999.8,0.00202607
36,200,15000,15032.4,0.00202607
37,200,15000,15025.6,0.00202607
38,200,15000,15027.1,0.00202607
39,200,15000,15044.2,0.00202607
40,200,15000,15017.6,0.00202607
41,200,15000,15221.9,0.00202607
42,200,15000,15442.5,0.00202607
43,200,15000,15436.4,0.00202607
44,200,15000,15234.5,0.00202607
45,200,15000,15017.4,0.00202607
46,200,15000,15010.5,0.00202607
47,200,15000,15008.8,0.00202607
48,200,15000,15001.6,0.00202607
49,200,15000,15116,0.00202607
50,200,15000,15021.8,0.00202607
51,200,15000,15039.7,0.00202607
52,200,15000,14975.6,0.00202607
53,200,15000,15022.4,0.00202607
54,200,15000,15018.6,0.00202607
55,200,15000,15319.3,0.00202607
56,200,15000,15387,0.00202607
57,200,15000,15498.3,0.00202607
58,200,15000,15214.2,0.00202607
59,200,15000,15079.8,0.00202607
60,200,15000,15014,0.00202607
61,200,15000,15033.6,0.00202607
62,200,15000,16142.7,0.00202607
63,200,15000,15626.3,0.00202607
64,200,15000,15460.6,0.00202607
65,200,15000,15059.4,0.00202607
66,200,15000,15040.4,0.00202607
67,200,15000,15048,0.00202607
68,200,15000,15039.7,0.00202607
69,200,15000,15090.1,0.00202607
70,200,15000,15054.1,0.00202607
71,200,15000,15027.3,0.00202607
72,200,15000,15173.4,0.00202607
73,200,15000,15064.4,0.00202607
74,200,15000,15037.9,0.00202607
75,200,15000,15285.3,0.00202607
76,200,15000,15459.3,0.00202607
77,200,15000,15597.8,0.00202607
78,200,15000,15198.2,0.00202607
79,200,15000,15082.9,0.00202607
80,200,15000,15110.6,0.00202607
81,200,15000,15020.9,0.00202607
82,200,15000,15218.1,0.00202607
83,200,15000,15058.5,0.00202607
84,200,15000,15052.9,0.00202607
85,200,15000,15093.4,0.00202607
86,200,15000,15023.6,0.00202607
87,200,15000,15020.9,0.00202607
88,200,15000,15169.2,0.00202607
89,200,15000,15435.3,0.00202607
90,200,15000,15428.2,0.00202607
91,200,15000,15310.4,0.00202607
92,200,15000,15087.1,0.00202607
93,200,15000,15300.4,0.00202607
94,200,15000,15006.7,0.00202607
95,200,15000,15034.9,0.00202607
96,200,15000,15000.9,0.00202607
97,200,15000,15011.8,0.00202607
98,200,15000,15020.7,0.00202607
99,200,15000,15039.3,0.00202607
100,200,15000,14987.1,0.00202607
101,200,15000,15039.4,0.00202607
102,200,15000,15387.9,0.00202607
103,200,15000,15508,0.00202607
104,200,15000,15331.6,0.00202607
105,200,15000,14983,0.00202607
106,200,15000,15019.4,0.00202607
107,200,15000,15054.7,0.00202607
108,200,15000,15039,0.00202607
109,200,15000,15054.1,0.00202607
110,200,15000,15281.1,0.00202607
111,200,15000,15335.6,0.00202607
112,200,15000,14938.4,0.00202607
113,200,15000,14921,0.00202607
114,200,15000,14906.4,0.00202607
115,200,15000,14950.5,0.00202607
116,200,15000,14911.5,0.00202607
117,200,15000,14901.1,0.00202607
118,200,15000,14961.3,0.00202607
119,200,15000,15022.6,0.00202607
120,200,15000,15001.4,0.00202607
121,200,15000,15033.7,0.00202607
122,200,15000,14942.9,0.00202607
123,200,15000,15032.7,0.00202607
124,200,15000,15337.1,0.00202607
125,200,15000,15360.2,0.00202607
126,200,15000,15304.7,0.00202607
127,200,15000,15176.7,0.00202607
128,200,15000,14920,0.00202607
129,200,15000,14988.7,0.00202607
130,200,15000,14993.4,0.00202607
131,200,15000,14977.9,0.00202607
132,200,15000,14867.2,0.00202607
133,200,15000,14945.3,0.00202607
134,200,15000,14911.7,0.00202607
135,200,15000,14961.7,0.00202607
136,200,15000,14949.8,0.00202607
137,200,15000,14904.2,0.00202607
138,200,15000,14942,0.00202607
139,200,15000,15081.9,0.00202607
140,200,15000,15312,0.00202607
141,200,15000,15256.8,0.00202607
142,200,15000,15269.7,0.00202607
143,200,15000,15105.1,0.00202607
144,200,15000,14899.2,0.00202607
145,200,15000,14887.9,0.00202607
146,200,15000,14904.2,0.00202607
147,200,15000,14879.5,0.00202607
148,200,15000,14890.2,0.00202607
149,200,15000,14915.1,0.00202607
150,200,15000,14929,0.00202607
151,200,15000,14983.5,0.00202607
152,200,15000,14914.1,0.00202607
153,200,15000,14870.7,0.00202607
154,200,15000,14883.6,0.00202607
155,200,15000,14899.4,0.00202607
156,200,15000,15270.4,0.00202607
157,200,15000,15247,0.00202607
158,200,15000,15192.1,0.00202607
159,200,15000,15045.5,0.00202607
160,200,15000,15006.5,0.00202607
161,200,15000,14984.7,0.00202607
162,200,15000,14946,0.00202607
163,200,15000,15045.2,0.00202607
164,200,15000,15341.4,0.00202607
165,200,15000,15317.7,0.00202607
166,200,15000,15282.6,0.00202607
167,200,15000,15030.2,0.00202607
168,200,15000,14891.5,0.00202607
169,200,15000,14947.8,0.00202607
170,200,15000,14904.5,0.00202607
171,200,15000,14915.8,0.00202607
172,200,15000,14880.6,0.00202607
173,200,15000,14953.9,0.00202607
174,200,15000,14923.9,0.00202607
175,200,15000,14902.8,0.00202607
176,200,15000,14861.9,0.00202607
177,200,15000,14864.2,0.00202607
178,200,15000,14877.7,0.00202607
179,200,15000,14901.1,0.00202607
180,200,15000,15217.6,0.00202607
181,200,15000,15215.9,0.00202607
182,200,15000,15223.5,0.00202607
183,200,15000,15169.4,0.00202607
184,200,15000,14867.4,0.00202607
185,200,15000,14918.8,0.00202607
186,200,15000,14891.6,0.00202607
187,200,15000,14925.9,0.00202607
188,200,15000,14863.4,0.00202607
189,200,15000,14910.6,0.00202607
190,200,15000,14880.9,0.00202607
191,200,15000,14873.9,0.00202607
192,200,15000,14896.8,0.00202607
193,200,15000,14934.7,0.00202607
194,200,15000,14859.9,0.00202607
195,200,15000,14879.5,0.00202607
196,200,15000,15067,0.00202607
197,200,15000,15218.3,0.00202607
198,200,15000,15238,0.00202607
199,200,15000,15218.8,0.00202607
200,200,15000,14922,0.00202607
201,200,15000,14913,0.00202607
202,200,15000,14876.1,0.00202607
203,200,15000,14918.7,0.00202607
204,200,15000,14891.5,0.00202607
205,200,15000,14939.8,0.00202607
206,200,15000,14900.3,0.00202607
207,200,15000,14865.2,0.00202607
208,200,15000,14883.2,0.00202607
209,200,15000,14867.2,0.00202607
210,200,15000,14964.4,0.00202607
211,200,15000,15012.9,0.00202607
212,200,15000,14940.5,0.00202607
213,200,15000,14981.8,0.00202607
214,200,15000,14997.1,0.00202607
215,200,15000,14961.2,0.00202607
216,200,15000,15229.2,0.00202607
217,200,15000,15346.5,0.00202607
218,200,15000,15294,0.00202607
219,200,15000,15301.4,0.00202607
220,200,15000,14940.7,0.00202607
221,200,15000,14954.5,0.00202607
222,200,15000,14924.3,0.00202607
223,200,15000,14930.6,0.00202607
224,200,15000,14919.1,0.00202607
225,200,15000,14918.5,0.00202607
226,200,15000,14886.3,0.00202607
227,200,15000,14910.5,0.00202607
228,200,15000,14898.8,0.00202607
229,200,15000,15041.8,0.00202607
230,200,15000,14920.9,0.00202607
231,200,15000,14979.3,0.00202607
232,200,15000,15261.1,0.00202607
233,200,15000,15277.6,0.00202607
234,200,15000,14912.7,0.00202607
235,200,15000,14960.7,0.00202607
236,200,15000,14895.8,0.00202607
