TaskSet,TrEDF,NtEDF,TrEDFminT,NtEDFminT,TrEDFmaxT,NtEDFmaxT,TrEDFminOP,NtEDFminOP,TrEDFmaxOP,NtEDFmaxOP
TaskSet0,0,0,0,0,0,0,0,0,0,0
TaskSet1,0,0,0,0,0,0,0,0,0,0
TaskSet2,0,0,0,0,0,0,0,0,0,0
TaskSet3,0,0,0,0,0,0,0,0,0,0
TaskSet4,0,0,0,0,0,0,0,0,0,0
TaskSet5,0,0,0,0,0,0,0,0,0,0
TaskSet6,0,0,0,0,0,0,0,0,0,0
TaskSet7,0,0,0,0,0,0,0,0,0,0
TaskSet8,0,0,0,0,0,0,0,0,0,0
TaskSet9,0,0,0,0,0,0,0,0,0,0
TaskSet10,0,0,0,0,0,0,0,0,0,0
TaskSet11,0,0,0,0,0,0,0,0,0,0
TaskSet12,0,0,0,0,0,0,0,0,0,0
TaskSet13,0,0,0,0,0,0,0,0,0,0
TaskSet14,0,0,0,0,0,0,0,0,0,0
TaskSet15,0,0,0,0,0,0,0,0,0,0
TaskSet16,0,0,0,0,0,0,0,0,0,0
TaskSet17,0,0,0,0,0,0,0,0,0,0
TaskSet18,0,0,0,0,0,0,0,0,0,0
TaskSet19,0,0,0,0,0,0,0,0,0,0
TaskSet20,0,0,0,0,0,0,0,0,0,0
TaskSet21,0,0,0,0,0,0,0,0,0,0
TaskSet22,0,0,0,0,0,0,0,0,0,0
TaskSet23,0,0,0,0,0,0,0,0,0,0
TaskSet24,0,0,0,0,0,0,0,0,0,0
TaskSet25,0,0,0,0,0,0,0,0,0,0
TaskSet26,0,0,0,0,0,0,0,0,0,0
TaskSet27,0,0,0,0,0,0,0,0,0,0
TaskSet28,0,0,0,0,0,0,0,0,0,0
TaskSet29,0,0,0,0,0,0,0,0,0,0
TaskSet30,0,0,0,0,0,0,0,0,0,0
TaskSet31,0,0,0,0,0,0,0,0,0,0
TaskSet32,0,0,0,0,0,0,0,0,0,0
TaskSet33,0,0,0,0,0,0,0,0,0,0
TaskSet34,0,0,0,0,0,0,0,0,0,0
TaskSet35,0,0,0,0,0,0,0,0,0,0
TaskSet36,0,0,0,0,0,0,0,0,0,0
TaskSet37,0,0,0,0,0,0,0,0,0,0
TaskSet38,0,0,0,0,0,0,0,0,0,0
TaskSet39,0,0,0,0,0,0,0,0,0,0
TaskSet40,0,0,0,0,0,0,0,0,0,0
TaskSet41,0,0,0,0,0,0,0,0,0,0
TaskSet42,0,0,0,0,0,0,0,0,0,0
TaskSet43,0,0,0,0,0,0,0,0,0,0
TaskSet44,0,0,0,0,0,0,0,0,0,0
TaskSet45,0,0,0,0,0,0,0,0,0,0
TaskSet46,0,0,0,0,0,0,0,0,0,0
TaskSet47,0,0,0,0,0,0,0,0,0,0
TaskSet48,0,0,0,0,0,0,0,0,0,0
TaskSet49,0,0,0,0,0,0,0,0,0,0
TaskSet50,0,0,0,0,0,0,0,0,0,0
TaskSet51,0,0,0,0,0,0,0,0,0,0
TaskSet52,0,0,0,0,0,0,0,0,0,0
TaskSet53,0,0,0,0,0,0,0,0,0,0
TaskSet54,0,0,0,0,0,0,0,0,0,0
TaskSet55,0,0,0,0,0,0,0,0,0,0
TaskSet56,0,0,0,0,0,0,0,0,0,0
TaskSet57,0,0,0,0,0,0,0,0,0,0
TaskSet58,0,0,0,0,0,0,0,0,0,0
TaskSet59,0,0,0,0,0,0,0,0,0,0
TaskSet60,0,0,0,0,0,0,0,0,0,0
TaskSet61,0,0,0,0,0,0,0,0,0,0
TaskSet62,0,0,0,0,0,0,0,0,0,0
TaskSet63,0,0,0,0,0,0,0,0,0,0
TaskSet64,0,0,0,0,0,0,0,0,0,0
TaskSet65,0,0,0,0,0,0,0,0,0,0
TaskSet66,0,0,0,0,0,0,0,0,0,0
